Trek,URL,Region,Duration,Grade,Image
Valley of Flowers Trek,https://trekthehimalayas.com/valley-of-flowers-trek,Uttarakhand,DURATION: 6 DAYS,GRADE: EASY TO MODERATE,https://cdn.trekthehimalayas.com/images/ValleyofFlowersTrek/AppCover/586f67d2-34a7-4cfe-b5bc-d950e7aa63e9_valley-of-flower.webp
Auden's Col Expedition,https://trekthehimalayas.com/audens-col-expedition,Uttarakhand,DURATION: 15 DAYS,GRADE: CHALLENGING,https://cdn.trekthehimalayas.com/images/Auden'sColExpedition/AppCover/ccad5709-a04b-47c1-859c-d841f6dd0a09_Auden's-Col-Expedition_11zon.webp
Kuari Pass Trek,https://trekthehimalayas.com/kuari-pass-trek,Uttarakhand,DURATION: 6 DAYS,GRADE: MODERATE,https://cdn.trekthehimalayas.com/images/WinterKuariPassTrek/AppCover/255eddaa-4023-452f-9f92-89a040dd31b9_winter-kuari-pass_11zon.webp
Gaumukh Tapovan Trek,https://trekthehimalayas.com/gaumukh-tapovan-trek,Uttarakhand,DURATION: 8 DAYS,GRADE: MODERATE TO DIFFICULT,https://cdn.trekthehimalayas.com/images/GaumukhTapovanTrek/AppCover/2fded83f-42e1-4b28-a1db-1cfd7c009d5d_gaumukh-tapovan_11zon.webp
Gaumukh Gangotri Trek,https://trekthehimalayas.com/gaumukh-gangotri-trek,Uttarakhand,DURATION: 6 DAYS,GRADE: MODERATE,https://cdn.trekthehimalayas.com/images/GaumukhGangotriTrek/AppCover/c751dceb-c4bb-44f0-91d7-b84c8c459afd_gaumukh cover image wepb.webp
Bali Pass Trek,https://trekthehimalayas.com/bali-pass-trek,Uttarakhand,DURATION: 8 DAYS,GRADE: DIFFICULT,https://cdn.trekthehimalayas.com/images/BaliPassTrek/AppCover/5904bcfe-6e90-4ebd-a9b2-8255169d60da_bali-pass_11zon.webp
Ranthan Kharak Trek,https://trekthehimalayas.com/ranthan-kharak-trek,Uttarakhand,DURATION: 7 DAYS,GRADE: MODERATE,https://cdn.trekthehimalayas.com/images/RanthanKharakTrek/AppCover/d1043b78-655e-486e-ae8d-5694b9b58329_ranthan-kharak_11zon.webp
Har Ki Dun Trek,https://trekthehimalayas.com/har-ki-dun-trek,Uttarakhand,DURATION: 7 DAYS,GRADE: EASY TO MODERATE,https://cdn.trekthehimalayas.com/images/HarKiDunTrek/AppCover/050d7834-86d3-483b-8852-218e298a67e7_har-ki-dun.webp
Chopta Chandrashila Tungnath Trek with Deoriatal,https://trekthehimalayas.com/chopta-chandrashila-deoria-tal-trek,Uttarakhand,DURATION: 5 DAYS,GRADE: EASY TO MODERATE,https://cdn.trekthehimalayas.com/images/ChoptaChandrashilaTungnathTrekwithDeoriatal/AppCover/e8188965-99c2-429d-b1f0-1f7b54961ed9_chopta-chandrashila_11zon.webp
Chopta Chandrashila 3 Day Trek,https://trekthehimalayas.com/chopta-chandrashila-3-day-trek,Uttarakhand,DURATION: 3 DAYS,GRADE: EASY,https://cdn.trekthehimalayas.com/images/ChoptaChandrashila3DayTrek/AppCover/0f53b743-c1df-4d85-b029-ccbc02d9f51e_chopta-3-days_11zon.webp
